app_id,app_name,source,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,idea_9,idea_10
com.dropbox.android,Dropbox: Secure Cloud Storage,SOURCE3,"This feature generates brief tasks from stored files, monitors changes over time, and lets users invite others to give feedback without sharing entire folders.","This feature processes stored audio and video by adjusting volume levels, reducing background noise, adding captions, and providing options for hearing profiles and distant voice enhancement.","This feature allows you to select files, change their formats, add watermarks, set access permissions and expiration, include eSign steps, and share files through email, links, QR codes, or Nearby Drop.","This feature checks stored files for errors, shows data backup status and possible issues, recommends fixes, and can automatically plan repairs to keep data intact.","This feature records activities such as enabling two-factor authentication, organizing files, and making referrals, enabling users to earn credits redeemable for extra storage and services.",This feature allows temporary access to advanced functions for 24 hours and provides a summary of your activity after the period ends.,This feature finds nearby users for temporary file transfers via Bluetooth or LAN and uses verification methods such as domain checks and one-time codes to establish connections.,"This feature allows users to add review requests to shared files, enabling recipients to give ratings, emojis, or feedback, with results combined across file versions.","This feature generates a 6-digit code that permits one-time file access within a specified time frame, tracks usage limits, and records the retrieval event.","This feature saves travel documents and folders for selected dates and locations offline, updates them automatically, and recommends backups when weather or outage alerts occur."
com.dropbox.android,Dropbox: Secure Cloud Storage,SOURCE4,"This feature creates an encrypted index on your device to enable local file searches by meaning, and it synchronizes the index securely across your devices.","This feature creates links that restrict access by location, device, network, and time, updates security keys, and adds authentication without altering the original link.","This feature identifies personal information in files, creates a redacted version for sharing, keeps the original file unchanged, and shows a preview of the hidden content.","This feature divides data into parts using erasure coding and stores them across Dropbox and optional third-party clouds, enabling data recovery from partial information.","This feature lets users enter a PIN to access a separate folder with selected files, restricts access to sensitive data, and can notify trusted contacts.","This feature enables devices to share encryption keys directly through Bluetooth or Wi-Fi Direct by scanning a QR code, without using a server or needing an Internet connection.","This feature allows users to view media and PDFs with watermarks, restricts downloads by default, adds recipient-specific marks, dims screenshots, and requires verification for one-time downloads.","This feature verifies device details like mobile attestation, OS version, screen lock, and jailbreak/root status before decryption, and limits access on unsecured Wi-Fi networks.","This feature establishes an encrypted local connection between nearby users to share file updates, enabling faster synchronization of large files and reducing mobile data use.","This feature saves encrypted app data backups using user-held keys, creates incremental snapshots, and enables restoring selected data to a new device with secure access."
com.amazon.mShop.android.shopping,Amazon Shopping,SOURCE3,"This feature offers brief lessons and AR overlays while browsing or buying DIY, art, cooking, or maker items, tracks progress, suggests related products, and enables sharing with others.","This feature allows you to create product bundles by choosing a base item and modifying options, displays current prices and availability, and saves presets for future orders.","This feature allows you to share a product as a poll with selected contacts and receive their ranked choices, reactions, and comments on the product page.","This feature allows users to earn points by playing games, answering trivia, or completing surveys, which can be exchanged for coupons, gift card credits, or donations.","This feature shows delivery estimates based on weather, suggests packing lists for destinations, and lets users change shipment locations during severe weather.","This feature displays an authenticity card on each listing with review quality, seller history, ID verification status, return rates, and indicators of possible fake reviews.","This feature improves audio and captions in product videos and live streams by offering speech boost, noise reduction, multi-language captions, searchable transcripts, and adjustable clarity settings.","This feature saves searches and product pages for offline access, queues actions like adding items to the cart for later syncing, and reduces data use with compressed images or text-only mode.","This Feature allows you to create and save filters with rules, sorting options, and price alerts, apply them to categories, share filters, and subscribe to others’ updates.","This feature allows you to add compatible accessories to a product, updates weight, fit, and power limits, and provides 3D/AR previews with export options."
com.amazon.mShop.android.shopping,Amazon Shopping,SOURCE4,"This feature suggests product bundles based on purchase history and device models, lets users set budget and quality preferences, and adjusts items accordingly.","This feature allows users to place multiple items in one AR scene anchored in their room, automatically checks item sizes, and lets users save, share, and get matching suggestions.","This feature allows users to enable Gift Mode, which hides browsing activity, orders, and recommendations, provides masked notifications, neutral packaging, and a temporary incognito search history.","This feature provides a product care hub for each item, displaying warranty details, manuals, consumables, lifespan timers, repair guides, and options to order certified spare parts.","This feature displays carbon and packaging impact for each shipping option, including batch-to-locker with reusable totes, and offers credits for eco-friendly choices and grouped delivery times.","This feature automatically credits you if a product’s price drops soon after purchase and lets you switch to lower-priced options in different colors, sizes, or sellers.","This feature lets multiple users shop together by sharing carts, splitting payments, choosing addresses, chatting, setting deadlines, and applying discounts or combined shipping.","This feature displays product specifications in a table and includes a fit checker that verifies compatibility using device scans, VIN input, or camera measurements.","This feature allows users to update delivery location or time after dispatch, view live courier routes, see fees or credits, and combine multiple packages during delivery.",This feature allows customers to reorder previous purchases and return items by scanning and dropping them off at specified locations for credit.
com.einnovation.temu,Temu: Shop Like a Billionaire,SOURCE3,"This feature allows users to place items such as hats, glasses, bags, and decor on a mannequin or room canvas, customize colors and tones, and buy or find similar products.","This feature allows users to rate fit and material, upload photos or short videos, uses AI to summarize reviews, and identifies conflicting feedback.","This feature offers brief lessons on topics such as size charts, fabrics, and safety labels through quizzes. Completing lessons unlocks coupons and product recommendations.","This feature lets children explore selected toys using mini-games and sticker wishlists, while parents review items and automatically manage family budgets.",This feature is a clicker game featuring Temu items that offers time-limited discount bubbles and connects virtual decorations to actual product listings.,"This feature offers AR-guided DIY kits with tools and materials, provides step-by-step instructions, tracks progress, auto-reorders supplies, and enables sharing completed projects.","This feature allows you to create a 24-hour A/B poll, gather votes from friends or the community, and start a group-buy with discounts if enough people participate.","This feature organizes your orders into categories, stores related documents, and sends alerts for compatibility, refills, and item suggestions based on your purchase history.","This feature allows you to search with phrases or lyrics to find related styles, then view and filter moodboards by color, style, price, and shipping speed.","This feature allows you to create product bundles by choosing a base item, finishes, add-ons, and accessories with updated pricing. You can save, share, and swap items."
com.einnovation.temu,Temu: Shop Like a Billionaire,SOURCE4,"This feature uses your camera to show a room with selected items in AR, adapts to your space, offers alternative options, and allows adding all items to your cart.","This feature allows shoppers to set a desired price for an item, and if enough people choose the same price, Temu purchases the item at that price automatically.","This feature shows a video of the item with size, color, and condition details before shipping, allowing buyers to approve or cancel the order for a refund.","This feature allows nearby customers to combine their orders into one shared container, which is delivered to a locker or pickup point with delivery credits and scheduled times.","This feature lets users combine items from different sellers into bundles, applies tiered discounts, and automatically replaces similar items to find the lowest price without altering chosen options.","This feature allows shoppers to order two sizes or colors of clothing, keep the items that fit, return the rest with a prepaid pouch and QR locker, and collects fit data for future suggestions.","This feature displays a time-limited buyback credit on eligible items at checkout, enabling customers to return the product for Temu credit or list it for resale.","This feature allows buyers to join live factory sessions to choose finishes, engravings, or add-ons, with their selections saved and displayed on the order page.","This feature provides customizable checklists, budget plans, delivery schedules, and assembly instructions to help users prepare for events like moving or having a new baby.","This feature saves manuals, warranties, parts, and consumables for each order, sends reminders for refills, and enables one-tap reordering based on usage."
com.aim.racing,Extreme Car Driving Simulator,SOURCE3,"This feature provides a subscription that unlocks 3D photo mode, special paint materials, global giveaways, pit-stop coupons, ad-free play, weekly time trials, and early car access.","This feature records flips, wall rides, rooftop climbs, and trampoline jumps, uses physics-based multipliers, and lets players combine tricks to access parts and challenges.",This feature lets you download mission playlists and city packs to play without internet. Your progress is saved and updated automatically when you go online.,"This feature lets players reserve trial cars at rental spots, follow routes with directions and refuel stops, and return cars by deadlines to earn rewards.","This feature displays route distances, drift zones, and parking space sizes on a map, enables setting time trials by tapping, and allows users to share routes.","This feature provides session timers, adjustable camera settings, color-safe presets, and a Junior Mode that limits speed, simplifies physics, and requires a parent PIN for purchases.","This feature lets players test-drive cars, negotiate prices, finance purchases with in-game credit, track monthly payments, and complete tasks to unlock special models and race entries.","This feature allows you to collect and equip mod cards for tires, aero, ECU, and nitro before events, with some arenas and duels restricting card usage.","This feature records the last 30 to 120 seconds of gameplay, lets you save and edit clips, add voice or music, and share them using shortcuts.","This feature lets users create custom mascots and decals, apply them to cars and banners, export images as PNG files, and use a photo booth with filters and effects."
com.aim.racing,Extreme Car Driving Simulator,SOURCE4,"This feature adds city elements such as roadworks, accidents, events, and police checkpoints that change traffic routes, with AI drivers displaying different behaviors affecting traffic flow.","This feature recommends sequences of jumps, drifts, and near-misses based on your car, shows a temporary route, scores your performance, and lets you share it as a challenge ghost.","This feature adds tire heat, brake fade, and fluid temperature effects that affect vehicle handling, and provides quick-service bays for fast pit stops during free-roam sessions.","This feature allows you to place a life-sized car in your room using AR, adjust its position, lights, and animations, and create custom designs with AI-generated textures.","This feature lets players switch between roles such as driver, blocker, scout, or interceptor during events. Friends can send AI versions to join when they are offline.","This feature adjusts the time and weather based on the player’s location or changing microclimates, updating grip, aerodynamics, and splash effects in real time.",This feature lets users adjust vibration and sound settings for various road surfaces and share or download settings created by other users.,"This feature displays driving lines, braking points, and drift angles based on your data, provides real-time audio and vibration feedback, and uses ghost data for practice drills.","This feature lets players create and share collections of tunes, liveries, stunt lines, and mini-missions that others can install with a single tap.","This feature detects events such as near misses, long drifts, big jumps, and police escapes, then creates a vertical video highlight with music for export."
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,SOURCE3,"This feature lets the shark jump out of the water and perform spins, rolls, and tail-slaps to earn combo points and remove obstacles for additional time and challenges.","This feature allows players to save the last 20 seconds of gameplay with one tap, highlights important events, and provides a photo mode with camera controls and filters.","This feature lets players play certain missions and mini-boss challenges offline, saving their progress and rewards to update when they reconnect to the internet.","This feature tracks timed chomps and dashes to fill a meter that releases a sonic wave, attracting prey and stunning predators. It can use mic input for clapping or humming.","This feature offers monthly access to new 3D skins, effects, rotating shark trials, and weekly giveaways, along with a countdown timer, billing reminders, cancel options, and family sharing.","This feature allows you to test sharks in a restricted area, tracks upgrade costs alongside related missions, and lets you make partial payments to keep event discounts.","This feature displays a sonar overlay that marks nearby objectives, measures distances to chests or bosses, highlights safe routes, and shows a path from your best run.","This feature lets players customize sharks and baby companions with layers, shaders, and templates, and allows them to share or export their designs as PNG files.","This feature allows you to create a Reef HQ by placing coral and devices that offer passive effects, attract prey, or open event portals. You can also raise pets with traits and send them on timed missions to gather materials.","This feature allows players to collect Mutation Cards with various effects and build a deck before each run, influencing abilities available during gameplay."
com.fgol.HungrySharkEvolution,Hungry Shark Evolution,SOURCE4,"This feature adds weekly ocean events that modify zones with elements such as thermal vents, toxic spills, and algal blooms, impacting prey, hazards, and score multipliers.","This feature lets players add augment chips to sharks to modify their main moves, combine bonuses from pets and gear, and use presets for various missions.","This feature lets players share a recorded hunt route and prey setup for friends to try within 24 hours, with rewards given based on difficulty and modifiers.","This feature lets players build an underwater base with collected materials, unlock bonuses, craft items, show trophies, and join timed defense events with leaderboards.","This feature provides a timed mode where players choose one of three random mutations each minute, which accumulate during the run, and earn currency to unlock additional mutations.","This feature enables prey and predators to detect light, sound, and scent changes, allows hiding in kelp or sand, and adds gadgets like noise-makers and ink clouds.","This feature uses AR to place virtual items such as treasure crates, eggs, and event portals in your environment. Daily scans provide boost items and game updates.",This feature allows players to participate in server-wide boss battles by damaging a shared health pool. Players can create clans to earn team bonuses and unlock boss-related items.,"This feature lets players combine duplicate pets to create hybrids with inherited traits, use an item to lock certain genes, and updates gene pools each season.","This feature adjusts prey amounts and shop prices daily according to feeding and weather, encourages exploring areas, and provides contracts to restore zones and earn skins and boosters."
com.block.juggle,Block Blast!,SOURCE3,"This feature adds a Trick Chain meter that fills with accurate placements and consecutive clears, providing a one-cell nudge to adjust the last block when specific levels are reached.","This feature allows players to copy the current board to a practice area, save move sequences as replays, and automatically record the last 20 seconds for review or sharing.","This feature sets small goals for each run, displays their estimated time, difficulty, and rewards, and indicates when you can advance to the next difficulty level.","This feature offers downloadable Commute Packs for 3–7 minutes of offline play, allows adjusting pieces, and automatically syncs progress when connected to the internet.","This feature allows players to use coins to borrow a specific shape for up to three uses, then return it for a partial refund and a bonus if unused.","This Feature provides a Precision Snap mode that suggests exact fits, highlights edges and gaps, previews collisions, and displays up to three landing spots when pressing and holding.",This feature arranges challenges into episodes with short story parts and specific mechanics. Users can search by mechanic or difficulty and queue episodes to play continuously.,"This feature displays an overlay that calculates area coverage, counts gaps, estimates clearing potential for upcoming pieces, and allows simulating one move ahead and saving layouts.",This feature allows players to create decks by choosing cards from rotating sets and play turn-based matches. It also displays seasonal stats about card combinations.,"This feature allows users to create a Block Buddy and customize its diorama by completing goals. The buddy displays animations based on streaks, and seasonal events add décor and 3D block skins."
com.block.juggle,Block Blast!,SOURCE4,"This feature provides a swap bank that stores one piece, which can be charged by completing combos or quests. Swapping pieces does not affect the upcoming queue.","This feature adds Path Mode, where players connect marked targets with continuous block paths to clear them and score lines, without altering the main game rules.","This feature tracks cleared lines with mostly one color to fill corresponding meters, allowing the player to select a special power-piece of that color when a meter is full.","This feature adds weekly event boards with new elements such as ice tiles that need two clears, teleporting portals, and decaying blockers, with rules changing separately from the main mode.",This feature allows two players to play the same game setup separately and compare their scores or last moves. Rematches use the same setup again.,This feature displays a translucent replay of a previous run or top player on the current board. Tapping a step shows a heatmap and projected clears for that move.,"This feature sets small goals based on your draws. Completing a streak gives a one-time reward, like a free queue refresh.","This feature displays three possible block placements with their expected clears, future fit scores, and risk of no moves to inform player decisions.","This feature awards extra points for placing blocks on the beat, displays matching sounds and visuals, and lets players adjust the tempo.","This feature lets users create puzzles with a starting board and piece sequence, share them, verify solvability, and view leaderboards for puzzle completion."
com.antivirus,AVG AntiVirus & Security,SOURCE3,"This feature offers interactive exercises to help users recognize phishing, check app permissions, and practice safe browsing, using simulations and a progress score.","This feature lets you connect with trusted contacts, share security settings, receive alerts about scams or breaches, and send device protection suggestions with permission.","This feature allows you to create a custom scan by choosing options such as stalkerware check, tracker purge, and network audit, schedule it to run automatically, and view the results.","This feature checks new apps, Wi-Fi connections, and unknown calls or texts by examining their source, certificates, reputation, and permissions, letting you block, allow, or select options.","This feature sends alerts using voice prompts, vibrations, and high-contrast banners, and allows users to set quiet hours while prioritizing severe event notifications.","This feature allows users to earn points by completing security tasks such as scans and reports, which can be redeemed for premium time, licenses, or donations.","This feature detects screen overlays and fake input fields, offers a secure keypad for entering sensitive data, clears the clipboard automatically, blocks clipboard access, and alerts about keylogging apps.","This feature provides a community-updated list of reported scams, malicious websites, and fake delivery messages, enabling users to block or filter them with a single tap.","This feature displays malware and scam trends for your region, device, and apps, provides guidance to address them, and offers travel-related risk information with protection options.","This feature lets you add optional modules for offline virus definitions, document scanning, QR code and short-link analysis, and cloud drive scanning to the app."
com.antivirus,AVG AntiVirus & Security,SOURCE4,"This feature analyzes live call audio to detect AI-generated voices, provides an authenticity score, and lets users block, record, or report the call.","This feature opens unknown links in a separate browser that blocks sensors, uses temporary cookies, limits clipboard access, filters threats via a local VPN, and clears data afterward.","This feature detects hidden tracking apps, call or message forwarding, and location sharing without notifying others. It provides a hidden exit, removal instructions, and an optional report for authorities.","This feature shows alerts when apps request sensitive permissions or start services, provides temporary and location-based permissions, detects permission changes after updates, and removes unused permissions.","This feature monitors app network activity using a local VPN, blocks unusual data transfers, provides explanations for blocked actions, and lets you isolate the app if necessary.","This feature monitors unusual file changes in shared storage, temporarily stops the app’s network access, backs up recent files to the cloud, and helps with file recovery.",This feature scans QR codes and NFC tags for possible threats like unsafe websites or credential theft and displays a warning before opening them.,"This feature detects fake Wi-Fi networks by checking network information, switches to cellular or VPN-only mode automatically, and adds the hotspot to a shared threat map.","This feature monitors SIM and carrier changes, detects service interruptions and port-out alerts, locks apps with OTPs, hides related notifications, and provides instructions to contact your carrier.","This feature temporarily hides selected apps and data, reduces notifications and background activity, and enforces stricter network and location settings when activated with a decoy PIN."
com.tinder,Tinder Dating App: Chat & Date,SOURCE3,"This feature uses AI roleplay to help you practice dating profiles, conversation starters, and chat skills through daily exercises, with optional feedback from friends.","This feature lets trusted friends leave private recommendations and introduction notes, and shows a referral tree indicating who invited each person without sharing contact information.","This feature provides chat icebreakers such as mini-games, photo prompts, and music matching to help users interact and earn tokens for rewards or donations.","This feature lets users share temporary phone numbers with one tap and arrange calls or video meetings, with numbers expiring automatically or when the session ends.","This feature lets users privately share feedback about their date, such as punctuality, conversation, and safety, to help improve future matches and provide guidance.","This feature recommends meeting locations based on users’ locations, travel times, and weather, sends severe weather alerts, and suggests indoor options when needed.","This feature allows users to set adjustable filters with strict or flexible options, view live match counts, and share their filter settings using QR codes at events.","This feature allows users to reserve a table with two selected drinks or snacks, offers contactless check-in at partner locations, and includes dietary information and item swaps.","This feature offers live captions for voice notes and video chats, controls for noise reduction and voice clarity, and profile badges showing accessibility preferences.","This feature offers local prompts where users can comment to join matching groups, with moderation and content filters to ensure a safe and appropriate environment."
